,0,1,2,3,4,5,6,7,8,9
102,Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)","Fugitive, The (1993)","Bridge on the River Kwai, The (1957)","Hunt for Red October, The (1990)",Gladiator (2000),Casablanca (1942),In the Line of Fire (1993),"Rock, The (1996)"
103,"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Bug's Life, A (1998)",Fight Club (1999),American Pie (1999),F/X (1986),Arlington Road (1999),Clerks (1994),Stir of Echoes (1999)
104,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)","Matrix, The (1999)",Glory (1989),"Princess Bride, The (1987)","Fugitive, The (1993)",Butch Cassidy and the Sundance Kid (1969),Star Wars: Episode V - The Empire Strikes Back (1980),Gladiator (2000)
105,Saving Private Ryan (1998),Roman Holiday (1953),North by Northwest (1959),Singin' in the Rain (1952),"African Queen, The (1951)",To Catch a Thief (1955),Charade (1963),Rebecca (1940),Strictly Ballroom (1992),My Fair Lady (1964)
106,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),Casablanca (1942),Lawrence of Arabia (1962),Chinatown (1974),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),Blade Runner (1982),"Maltese Falcon, The (1941)"
107,"Silence of the Lambs, The (1991)","Bridge on the River Kwai, The (1957)",American Beauty (1999),Gladiator (2000),Waiting for Guffman (1996),Nikita (La Femme Nikita) (1990),From Russia with Love (1963),Back to the Future (1985),Airplane! (1980),Best in Show (2000)
108,Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),To Catch a Thief (1955),North by Northwest (1959),"Sting, The (1973)",Arsenic and Old Lace (1944),Butch Cassidy and the Sundance Kid (1969),Indiana Jones and the Last Crusade (1989),Young Frankenstein (1974),Casablanca (1942)
109,Fargo (1996),American Beauty (1999),L.A. Confidential (1997),"Usual Suspects, The (1995)",Run Lola Run (Lola rennt) (1998),High Fidelity (2000),Almost Famous (2000),GoodFellas (1990),"Professional, The (a.k.a. Leon: The Professional) (1994)",Nikita (La Femme Nikita) (1990)
110,"Shawshank Redemption, The (1994)","Wrong Trousers, The (1993)","Silence of the Lambs, The (1991)",Saving Private Ryan (1998),Being John Malkovich (1999),L.A. Confidential (1997),"Usual Suspects, The (1995)",When We Were Kings (1996),Run Lola Run (Lola rennt) (1998),Hoop Dreams (1994)
111,Double Indemnity (1944),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Close Shave, A (1995)","Wrong Trousers, The (1993)",Chinatown (1974),Blade Runner (1982),M (1931),"Maltese Falcon, The (1941)","Grand Day Out, A (1992)",Creature Comforts (1990)
112,Schindler's List (1993),Saving Private Ryan (1998),"Matrix, The (1999)","Princess Bride, The (1987)",Remember the Titans (2000),Gladiator (2000),Frequency (2000),American Beauty (1999),Erin Brockovich (2000),Terminator 2: Judgment Day (1991)
113,"Wizard of Oz, The (1939)",American Beauty (1999),Being John Malkovich (1999),West Side Story (1961),Singin' in the Rain (1952),North by Northwest (1959),Winnie the Pooh and the Blustery Day (1968),"Clockwork Orange, A (1971)",This Is Spinal Tap (1984),"Grapes of Wrath, The (1940)"
114,Saving Private Ryan (1998),Frequency (2000),Gladiator (2000),American Beauty (1999),X-Men (2000),Meet the Parents (2000),Fantasia 2000 (1999),Scream (1996),Jurassic Park (1993),Airplane! (1980)
115,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Die Hard (1988),Gladiator (2000),"Godfather, The (1972)","Few Good Men, A (1992)","Shining, The (1980)",E.T. the Extra-Terrestrial (1982),American Pie (1999),X-Men (2000)
116,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Close Shave, A (1995)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Glory (1989)
117,Saving Private Ryan (1998),"Great Escape, The (1963)",Braveheart (1995),"Matrix, The (1999)","Quiet Man, The (1952)",Raiders of the Lost Ark (1981),Glory (1989),"Fugitive, The (1993)",Lawrence of Arabia (1962),Star Wars: Episode IV - A New Hope (1977)
118,"Sixth Sense, The (1999)",Young Frankenstein (1974),Toy Story 2 (1999),Mulan (1998),Mary Poppins (1964),Robin Hood (1973),Matilda (1996),Christmas Vacation (1989),Toy Story (1995),Beauty and the Beast (1991)
119,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Rear Window (1954),Schindler's List (1993),Citizen Kane (1941),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Silence of the Lambs, The (1991)",Fargo (1996)
120,"Matrix, The (1999)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),Blade Runner (1982),Star Wars: Episode V - The Empire Strikes Back (1980),Forbidden Planet (1956),Contact (1997),Toy Story (1995),E.T. the Extra-Terrestrial (1982)
121,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Matrix, The (1999)",Star Wars: Episode V - The Empire Strikes Back (1980),"Bridge on the River Kwai, The (1957)","Fugitive, The (1993)",American Beauty (1999),Aliens (1986)
122,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)"
123,Schindler's List (1993),American Beauty (1999),Some Folks Call It a Sling Blade (1993),"Fugitive, The (1993)",Sling Blade (1996),GoodFellas (1990),Amistad (1997),Thelma & Louise (1991),"Crying Game, The (1992)",My Cousin Vinny (1992)
124,"Matrix, The (1999)","39 Steps, The (1935)",Glory (1989),"Bridge on the River Kwai, The (1957)",Butch Cassidy and the Sundance Kid (1969),"Fugitive, The (1993)","Dirty Dozen, The (1967)","Hunt for Red October, The (1990)","Untouchables, The (1987)",Gladiator (2000)
125,"Godfather, The (1972)","African Queen, The (1951)",Star Wars: Episode IV - A New Hope (1977),Notorious (1946),Run Lola Run (Lola rennt) (1998),Annie Hall (1977),Strictly Ballroom (1992),"Godfather: Part II, The (1974)",Charade (1963),"Crying Game, The (1992)"
126,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Schindler's List (1993),"Close Shave, A (1995)",Saving Private Ryan (1998),"Matrix, The (1999)","Silence of the Lambs, The (1991)","Green Mile, The (1999)",Braveheart (1995),"Fugitive, The (1993)"
127,"Bridge on the River Kwai, The (1957)",American Beauty (1999),Nikita (La Femme Nikita) (1990),Star Wars: Episode VI - Return of the Jedi (1983),From Russia with Love (1963),Fantasia 2000 (1999),"Man from Laramie, The (1955)","Breakfast Club, The (1985)",Airplane! (1980),Jurassic Park (1993)
128,Saving Private Ryan (1998),"Matrix, The (1999)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Usual Suspects, The (1995)",Blade Runner (1982),"Godfather, The (1972)",Die Hard (1988),"Untouchables, The (1987)"
129,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Glory (1989),"Fugitive, The (1993)","Bridge on the River Kwai, The (1957)",Die Hard (1988)
130,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),"Godfather, The (1972)",Casablanca (1942),"Third Man, The (1949)",Lawrence of Arabia (1962),"Close Shave, A (1995)","Wrong Trousers, The (1993)",One Flew Over the Cuckoo's Nest (1975),Schindler's List (1993)
131,"Christmas Story, A (1983)",Young Frankenstein (1974),Monty Python and the Holy Grail (1974),"Princess Bride, The (1987)",This Is Spinal Tap (1984),Toy Story (1995),Shakespeare in Love (1998),Election (1999),"Adventures of Priscilla, Queen of the Desert, The (1994)",High Fidelity (2000)
132,"Shawshank Redemption, The (1994)",American History X (1998),Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),Ponette (1996),"Silence of the Lambs, The (1991)",Apollo 13 (1995),Primal Fear (1996),Love Jones (1997)
133,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),"Matrix, The (1999)",Forrest Gump (1994),"Fugitive, The (1993)",American Beauty (1999),Gladiator (2000),Toy Story 2 (1999),Toy Story (1995)
134,American Beauty (1999),Fight Club (1999),Boys Don't Cry (1999),"Princess Bride, The (1987)",Run Lola Run (Lola rennt) (1998),Toy Story 2 (1999),Elizabeth (1998),"Sixth Sense, The (1999)",Shakespeare in Love (1998),Rushmore (1998)
135,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),"Godfather, The (1972)",Rear Window (1954),Chinatown (1974),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Streetcar Named Desire, A (1951)",One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999)
136,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),Apollo 13 (1995),"Fugitive, The (1993)","Usual Suspects, The (1995)","Hunt for Red October, The (1990)"
137,Double Indemnity (1944),"Shawshank Redemption, The (1994)","Wrong Trousers, The (1993)","Godfather, The (1972)",Central Station (Central do Brasil) (1998),"Silence of the Lambs, The (1991)",American Beauty (1999),Fargo (1996),Wallace & Gromit: The Best of Aardman Animation (1996),M (1931)
138,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),"Streetcar Named Desire, A (1951)","Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),"Christmas Story, A (1983)","Wizard of Oz, The (1939)","Wrong Trousers, The (1993)","Thin Man, The (1934)"
139,Casablanca (1942),Citizen Kane (1941),Double Indemnity (1944),"Godfather, The (1972)","Third Man, The (1949)","Maltese Falcon, The (1941)","Big Sleep, The (1946)",It's a Wonderful Life (1946),"Palm Beach Story, The (1942)","African Queen, The (1951)"
140,Rear Window (1954),Inherit the Wind (1960),"Bridge on the River Kwai, The (1957)","Thin Man, The (1934)","Maltese Falcon, The (1941)","Third Man, The (1949)",Shadow of a Doubt (1943),Anatomy of a Murder (1959),Gladiator (2000),American Beauty (1999)
141,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)",American Beauty (1999),"Matrix, The (1999)","Wizard of Oz, The (1939)"
142,Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),"Matrix, The (1999)","Princess Bride, The (1987)",Life Is Beautiful (La Vita è bella) (1997),Gladiator (2000),"Hunt for Red October, The (1990)",American Beauty (1999),Toy Story 2 (1999)
143,Schindler's List (1993),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Forrest Gump (1994),American Beauty (1999),Gladiator (2000),Rain Man (1988),Erin Brockovich (2000),Everest (1998),"Few Good Men, A (1992)"
144,American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Election (1999),Boys Don't Cry (1999),Run Lola Run (Lola rennt) (1998),Rushmore (1998),Happiness (1998),Gods and Monsters (1998),Shakespeare in Love (1998)
145,Blade Runner (1982),Casablanca (1942),Rear Window (1954),Double Indemnity (1944),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),"Godfather, The (1972)","Wizard of Oz, The (1939)",Fargo (1996),American Beauty (1999)
146,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Glory (1989)
147,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)"
148,"Gate of Heavenly Peace, The (1995)",Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),"Close Shave, A (1995)","Shawshank Redemption, The (1994)","Wizard of Oz, The (1939)","Godfather, The (1972)"
149,Schindler's List (1993),"Shawshank Redemption, The (1994)","Last Emperor, The (1987)",One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999),"Killing Fields, The (1984)","Silence of the Lambs, The (1991)",Maya Lin: A Strong Clear Vision (1994),Fight Club (1999)
150,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),"Streetcar Named Desire, A (1951)",Casablanca (1942),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),"Christmas Story, A (1983)","Wizard of Oz, The (1939)","Godfather, The (1972)"
151,"Princess Bride, The (1987)","Christmas Story, A (1983)",Cool Hand Luke (1967),Monty Python and the Holy Grail (1974),Young Frankenstein (1974),Toy Story 2 (1999),Toy Story (1995),Stand by Me (1986),Shakespeare in Love (1998),Clerks (1994)
152,"Sixth Sense, The (1999)",Fight Club (1999),American Pie (1999),American Beauty (1999),Road Trip (2000),Fargo (1996),Grumpy Old Men (1993),"South Park: Bigger, Longer and Uncut (1999)",Big Daddy (1999),10 Things I Hate About You (1999)
153,"Godfather, The (1972)",Touch of Evil (1958),American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Election (1999),"Bridge on the River Kwai, The (1957)",His Girl Friday (1940),Fantasia (1940),Star Wars: Episode V - The Empire Strikes Back (1980)
154,Saving Private Ryan (1998),"Godfather, The (1972)","Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),City Lights (1931),Braveheart (1995),Dersu Uzala (1974),Life Is Beautiful (La Vita è bella) (1997),Star Wars: Episode V - The Empire Strikes Back (1980),Good Will Hunting (1997)
155,Roman Holiday (1953),Schindler's List (1993),Doctor Zhivago (1965),My Fair Lady (1964),"Bridge on the River Kwai, The (1957)","Postino, Il (The Postman) (1994)",Sleepless in Seattle (1993),Toy Story 2 (1999),"Princess Bride, The (1987)","Run Silent, Run Deep (1958)"
156,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Sanjuro (1962),Schindler's List (1993),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),Casablanca (1942),"Shawshank Redemption, The (1994)",Double Indemnity (1944),"Godfather, The (1972)"
157,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Citizen Kane (1941),"Godfather, The (1972)",Casablanca (1942),Double Indemnity (1944),Chinatown (1974),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Lawrence of Arabia (1962),"Big Sleep, The (1946)",Taxi Driver (1976)
158,Saving Private Ryan (1998),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Sting, The (1973)",American Beauty (1999),Gladiator (2000),Toy Story 2 (1999),Erin Brockovich (2000),Star Wars: Episode VI - Return of the Jedi (1983),Shakespeare in Love (1998)
159,Star Wars: Episode IV - A New Hope (1977),American Beauty (1999),Star Wars: Episode VI - Return of the Jedi (1983),Frequency (2000),Erin Brockovich (2000),Remember the Titans (2000),Jaws (1975),E.T. the Extra-Terrestrial (1982),Sneakers (1992),X-Men (2000)
160,Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),Casablanca (1942),Rear Window (1954),Blade Runner (1982),"Shawshank Redemption, The (1994)",Citizen Kane (1941),American Beauty (1999),Fargo (1996)
161,"Sixth Sense, The (1999)",Remember the Titans (2000),Saving Private Ryan (1998),Braveheart (1995),"Fugitive, The (1993)","Postino, Il (The Postman) (1994)","Princess Bride, The (1987)",Toy Story 2 (1999),Much Ado About Nothing (1993),Raiders of the Lost Ark (1981)
162,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",American History X (1998),"Godfather, The (1972)",Raiders of the Lost Ark (1981),"Matrix, The (1999)","Usual Suspects, The (1995)",Braveheart (1995)
163,Remember the Titans (2000),"Bridge on the River Kwai, The (1957)",Going My Way (1944),Doctor Zhivago (1965),Forrest Gump (1994),Stalag 17 (1953),"Godfather, The (1972)","Treasure of the Sierra Madre, The (1948)",Charade (1963),Erin Brockovich (2000)
164,Schindler's List (1993),Blade Runner (1982),"Great Escape, The (1963)","Conversation, The (1974)",Cool Hand Luke (1967),American Beauty (1999),Serpico (1973),"Usual Suspects, The (1995)",Fargo (1996),Bringing Up Baby (1938)
165,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Rear Window (1954),"Third Man, The (1949)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Schindler's List (1993),"Close Shave, A (1995)","Wrong Trousers, The (1993)",Citizen Kane (1941),Chinatown (1974)
